ID_Candidat,Nom,Prénom,Email,Téléphone,Pays,Prochaine_Disponibilité,Niveau_Education,Langues,Expériences,Regulatory_Affairs,Quality_Systems_Compliance,Audits,Clinical_Post_Market,Engineering,Representative_Services,Date_Ajout,Dernière_Mise_A_Jour
1,Martin,Julie,julie.martin@mail.com,5133382108,Belgique,2024-04-27,Master,"Néerlandais (B2), Espagnol (A2)","Marc, 6 ans, pharmaceutique",Intermédiaire,Avancé,Intermédiaire,Avancé,Avancé,Avancé,2024-01-21,2024-10-14
2,Dupont,Paul,paul.dupont@mail.com,9376310151,France,2024-04-15,Licence,"Espagnol (A2), Allemand (B1)","Julie, 8 ans, qualité",Débutant,Intermédiaire,Débutant,Débutant,Intermédiaire,Débutant,2024-08-04,2024-10-22
3,Simon,Jean,jean.simon@mail.com,6942028717,France,2025-10-15,Master,"Allemand (B1), Néerlandais (B2), Espagnol (A2)","Louise, 5 ans, pharmaceutique",Intermédiaire,Avancé,Avancé,Avancé,Débutant,Débutant,2024-10-26,2024-03-09
4,Leroy,Paul,paul.leroy@mail.com,5613423372,Canada,2024-07-27,Licence,"Espagnol (A2), Néerlandais (B2)","Paul, 6 ans, clinique",Intermédiaire,Intermédiaire,Avancé,Intermédiaire,Intermédiaire,Débutant,2024-09-27,2024-04-28
5,Martin,Pierre,pierre.martin@mail.com,6231890868,Belgique,2025-07-07,Master,"Français (C1), Néerlandais (B2)","Louise, 6 ans, pharmaceutique",Intermédiaire,Débutant,Intermédiaire,Intermédiaire,Débutant,Avancé,2024-04-20,2024-06-27
6,Simon,Pierre,pierre.simon@mail.com,6771362191,France,2025-04-25,Licence,"Néerlandais (B2), Anglais (B2), Espagnol (A2)","Paul, 7 ans, clinique",Avancé,Débutant,Débutant,Intermédiaire,Débutant,Intermédiaire,2024-07-24,2024-03-20
7,Durand,Jacques,jacques.durand@mail.com,2148448593,Luxembourg,2026-06-20,Doctorat,"Néerlandais (B2), Allemand (B1), Anglais (B2)","Pierre, 1 ans, clinique",Débutant,Avancé,Intermédiaire,Intermédiaire,Débutant,Avancé,2024-07-03,2024-03-07
8,Martin,Julie,julie.martin@mail.com,5666127119,Canada,2024-02-12,Licence,Français (C1),"Louise, 9 ans, pharmaceutique",Avancé,Débutant,Débutant,Débutant,Avancé,Débutant,2024-03-08,2024-03-18
9,Simon,Julie,julie.simon@mail.com,3826903344,Suisse,2026-04-25,Master,Néerlandais (B2),"Marc, 6 ans, clinique",Avancé,Débutant,Avancé,Débutant,Avancé,Débutant,2024-03-26,2024-07-15
10,Robert,Jacques,jacques.robert@mail.com,6502679998,Suisse,2026-09-12,Licence,"Espagnol (A2), Français (C1), Allemand (B1)","Marie, 3 ans, audit",Avancé,Débutant,Intermédiaire,Avancé,Débutant,Avancé,2024-05-28,2024-08-12
11,Bernard,Julie,julie.bernard@mail.com,7070438220,Suisse,2025-08-14,Master,"Néerlandais (B2), Anglais (B2)","Marc, 5 ans, clinique",Avancé,Débutant,Débutant,Intermédiaire,Débutant,Intermédiaire,2024-10-01,2024-09-16
