ID_Candidat,Nom,Prénom,Email,Téléphone,Pays,Prochaine_Disponibilité,Niveau_Education,Langues,Compétences,Expériences,Date_Ajout,Dernière_Mise_A_Jour
1,Martin,Paul,paul.martin@mail.com,8337412842,Luxembourg,2026-07-04,Licence,"Allemand (B1), Anglais (B2), Espagnol (A2)","Paul a une solide expertise en affaires réglementaires, avec un niveau Avancé dans ce domaine. Il/elle possède également des compétences Avancé en systèmes de qualité et conformité, ainsi que des compétences Débutant en audits. Paul a une bonne maîtrise des domaines cliniques et post-marché, et dispose de compétences Débutant en ingénierie et en services de représentation.","Paul a travaillé pendant 10 ans dans des entreprises telles que Robert PharmaCorp, où il/elle a dirigé plusieurs projets d'audit pharmaceutique et de conformité. Il/elle a supervisé des équipes internationales et mené à bien des audits dans des environnements réglementaires complexes. Ses missions comprenaient la coordination avec les équipes d'ingénierie et la représentation auprès des autorités de santé dans plusieurs pays.",2024-01-15,2024-09-14
2,Simon,Marc,marc.simon@mail.com,6005117499,Belgique,2024-09-08,Master,"Anglais (B2), Néerlandais (B2)","Marc a une solide expertise en affaires réglementaires, avec un niveau Intermédiaire dans ce domaine. Il/elle possède également des compétences Débutant en systèmes de qualité et conformité, ainsi que des compétences Intermédiaire en audits. Marc a une bonne maîtrise des domaines cliniques et post-marché, et dispose de compétences Avancé en ingénierie et en services de représentation.","Marc a travaillé pendant 4 ans dans des entreprises telles que Robert PharmaCorp, où il/elle a dirigé plusieurs projets d'audit pharmaceutique et de conformité. Il/elle a supervisé des équipes internationales et mené à bien des audits dans des environnements réglementaires complexes. Ses missions comprenaient la coordination avec les équipes d'ingénierie et la représentation auprès des autorités de santé dans plusieurs pays.",2024-01-14,2024-04-25
3,Robert,Paul,paul.robert@mail.com,9933043590,Belgique,2026-12-22,Doctorat,"Anglais (B2), Français (C1), Néerlandais (B2)","Paul a une solide expertise en affaires réglementaires, avec un niveau Intermédiaire dans ce domaine. Il/elle possède également des compétences Intermédiaire en systèmes de qualité et conformité, ainsi que des compétences Débutant en audits. Paul a une bonne maîtrise des domaines cliniques et post-marché, et dispose de compétences Débutant en ingénierie et en services de représentation.","Paul a travaillé pendant 9 ans dans des entreprises telles que Robert PharmaCorp, où il/elle a dirigé plusieurs projets d'audit pharmaceutique et de conformité. Il/elle a supervisé des équipes internationales et mené à bien des audits dans des environnements réglementaires complexes. Ses missions comprenaient la coordination avec les équipes d'ingénierie et la représentation auprès des autorités de santé dans plusieurs pays.",2024-09-10,2024-01-22
4,Simon,Marie,marie.simon@mail.com,7613614705,France,2025-09-23,Doctorat,"Espagnol (A2), Allemand (B1)","Marie a une solide expertise en affaires réglementaires, avec un niveau Débutant dans ce domaine. Il/elle possède également des compétences Débutant en systèmes de qualité et conformité, ainsi que des compétences Avancé en audits. Marie a une bonne maîtrise des domaines cliniques et post-marché, et dispose de compétences Intermédiaire en ingénierie et en services de représentation.","Marie a travaillé pendant 1 ans dans des entreprises telles que Richard PharmaCorp, où il/elle a dirigé plusieurs projets d'audit pharmaceutique et de conformité. Il/elle a supervisé des équipes internationales et mené à bien des audits dans des environnements réglementaires complexes. Ses missions comprenaient la coordination avec les équipes d'ingénierie et la représentation auprès des autorités de santé dans plusieurs pays.",2024-10-10,2024-10-24
5,Martin,Jacques,jacques.martin@mail.com,9007729287,Canada,2024-06-11,Master,Allemand (B1),"Jacques a une solide expertise en affaires réglementaires, avec un niveau Intermédiaire dans ce domaine. Il/elle possède également des compétences Débutant en systèmes de qualité et conformité, ainsi que des compétences Débutant en audits. Jacques a une bonne maîtrise des domaines cliniques et post-marché, et dispose de compétences Intermédiaire en ingénierie et en services de représentation.","Jacques a travaillé pendant 4 ans dans des entreprises telles que Robert PharmaCorp, où il/elle a dirigé plusieurs projets d'audit pharmaceutique et de conformité. Il/elle a supervisé des équipes internationales et mené à bien des audits dans des environnements réglementaires complexes. Ses missions comprenaient la coordination avec les équipes d'ingénierie et la représentation auprès des autorités de santé dans plusieurs pays.",2024-05-21,2024-04-04
6,Petit,Lucie,lucie.petit@mail.com,2464820344,France,2025-04-20,Master,"Français (C1), Néerlandais (B2)","Lucie a une solide expertise en affaires réglementaires, avec un niveau Débutant dans ce domaine. Il/elle possède également des compétences Débutant en systèmes de qualité et conformité, ainsi que des compétences Intermédiaire en audits. Lucie a une bonne maîtrise des domaines cliniques et post-marché, et dispose de compétences Débutant en ingénierie et en services de représentation.","Lucie a travaillé pendant 1 ans dans des entreprises telles que Durand PharmaCorp, où il/elle a dirigé plusieurs projets d'audit pharmaceutique et de conformité. Il/elle a supervisé des équipes internationales et mené à bien des audits dans des environnements réglementaires complexes. Ses missions comprenaient la coordination avec les équipes d'ingénierie et la représentation auprès des autorités de santé dans plusieurs pays.",2024-01-07,2024-10-24
7,Moreau,Louise,louise.moreau@mail.com,8557783162,Luxembourg,2026-05-04,Master,"Espagnol (A2), Français (C1), Allemand (B1)","Louise a une solide expertise en affaires réglementaires, avec un niveau Intermédiaire dans ce domaine. Il/elle possède également des compétences Intermédiaire en systèmes de qualité et conformité, ainsi que des compétences Avancé en audits. Louise a une bonne maîtrise des domaines cliniques et post-marché, et dispose de compétences Débutant en ingénierie et en services de représentation.","Louise a travaillé pendant 2 ans dans des entreprises telles que Simon PharmaCorp, où il/elle a dirigé plusieurs projets d'audit pharmaceutique et de conformité. Il/elle a supervisé des équipes internationales et mené à bien des audits dans des environnements réglementaires complexes. Ses missions comprenaient la coordination avec les équipes d'ingénierie et la représentation auprès des autorités de santé dans plusieurs pays.",2024-02-02,2024-03-17
8,Robert,Pierre,pierre.robert@mail.com,4453543710,Canada,2024-10-05,Licence,"Néerlandais (B2), Anglais (B2)","Pierre a une solide expertise en affaires réglementaires, avec un niveau Intermédiaire dans ce domaine. Il/elle possède également des compétences Débutant en systèmes de qualité et conformité, ainsi que des compétences Débutant en audits. Pierre a une bonne maîtrise des domaines cliniques et post-marché, et dispose de compétences Intermédiaire en ingénierie et en services de représentation.","Pierre a travaillé pendant 8 ans dans des entreprises telles que Richard PharmaCorp, où il/elle a dirigé plusieurs projets d'audit pharmaceutique et de conformité. Il/elle a supervisé des équipes internationales et mené à bien des audits dans des environnements réglementaires complexes. Ses missions comprenaient la coordination avec les équipes d'ingénierie et la représentation auprès des autorités de santé dans plusieurs pays.",2024-05-21,2024-02-07
9,Martin,Louise,louise.martin@mail.com,2524199474,Canada,2024-10-03,Licence,"Néerlandais (B2), Allemand (B1)","Louise a une solide expertise en affaires réglementaires, avec un niveau Avancé dans ce domaine. Il/elle possède également des compétences Intermédiaire en systèmes de qualité et conformité, ainsi que des compétences Débutant en audits. Louise a une bonne maîtrise des domaines cliniques et post-marché, et dispose de compétences Intermédiaire en ingénierie et en services de représentation.","Louise a travaillé pendant 5 ans dans des entreprises telles que Petit PharmaCorp, où il/elle a dirigé plusieurs projets d'audit pharmaceutique et de conformité. Il/elle a supervisé des équipes internationales et mené à bien des audits dans des environnements réglementaires complexes. Ses missions comprenaient la coordination avec les équipes d'ingénierie et la représentation auprès des autorités de santé dans plusieurs pays.",2024-06-15,2024-08-18
10,Bernard,Jean,jean.bernard@mail.com,7170566712,Canada,2024-03-01,Master,"Espagnol (A2), Néerlandais (B2), Anglais (B2)","Jean a une solide expertise en affaires réglementaires, avec un niveau Avancé dans ce domaine. Il/elle possède également des compétences Avancé en systèmes de qualité et conformité, ainsi que des compétences Débutant en audits. Jean a une bonne maîtrise des domaines cliniques et post-marché, et dispose de compétences Débutant en ingénierie et en services de représentation.","Jean a travaillé pendant 9 ans dans des entreprises telles que Moreau PharmaCorp, où il/elle a dirigé plusieurs projets d'audit pharmaceutique et de conformité. Il/elle a supervisé des équipes internationales et mené à bien des audits dans des environnements réglementaires complexes. Ses missions comprenaient la coordination avec les équipes d'ingénierie et la représentation auprès des autorités de santé dans plusieurs pays.",2024-10-13,2024-09-10
