ID_Candidat,Nom,Prénom,Email,Téléphone,Pays,Prochaine_Disponibilité,Niveau_Education,Langues,Compétences,Expériences,Date_Ajout,Dernière_Mise_A_Jour
1,Robert,Sophie,sophie.robert@mail.com,8668964368,Luxembourg,2024-06-24,Doctorat,"Néerlandais (B2), Français (C1)",Spécialiste en systèmes de qualité avec des compétences Intermédiaire et une bonne maîtrise des audits. Expérience Débutant en systèmes de qualité et Avancé en systèmes de qualité.,"6 ans d'expérience chez Richard PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur qualité. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-05-25,2024-07-20
2,Simon,Jean,jean.simon@mail.com,8003587133,Belgique,2024-05-12,Doctorat,Néerlandais (B2),"Niveau Avancé en ingénierie, avec une bonne expertise en systèmes de qualité et compétences Intermédiaire en audits. Connaissances avancées en ingénierie.",Expérience de 3 ans en tant que auditeur principal chez Richard PharmaCorp. A conduit de nombreux audits dans le domaine réglementaire et a collaboré avec des partenaires internationaux.,2024-02-13,2024-02-17
3,Martin,Pierre,pierre.martin@mail.com,1071265838,Suisse,2026-08-13,Licence,"Espagnol (A2), Allemand (B1)","Niveau Avancé en services de représentation, avec une bonne expertise en systèmes de qualité et compétences Intermédiaire en affaires réglementaires. Connaissances avancées en systèmes de qualité.",Expérience de 6 ans en tant que auditeur principal chez Dupont PharmaCorp. A conduit de nombreux audits dans le domaine pharmaceutique et a collaboré avec des partenaires internationaux.,2024-08-06,2024-05-25
4,Martin,Louise,louise.martin@mail.com,8373396354,Luxembourg,2026-01-12,Master,"Allemand (B1), Français (C1), Anglais (B2)",Spécialiste en domaines cliniques et post-marché avec des compétences Avancé et une bonne maîtrise des audits. Expérience Intermédiaire en ingénierie et Débutant en ingénierie.,Expérience de 10 ans en tant que auditeur principal chez Dupont PharmaCorp. A conduit de nombreux audits dans le domaine réglementaire et a collaboré avec des partenaires internationaux.,2024-02-17,2024-03-02
5,Simon,Paul,paul.simon@mail.com,5436289202,Belgique,2024-08-13,Master,Allemand (B1),Spécialiste en affaires réglementaires avec des compétences Débutant et une bonne maîtrise des audits. Expérience Intermédiaire en systèmes de qualité et Avancé en systèmes de qualité.,Expérience de 4 ans en tant que auditeur principal chez Martin PharmaCorp. A conduit de nombreux audits dans le domaine qualité et a collaboré avec des partenaires internationaux.,2024-08-10,2024-10-27
6,Leroy,Lucie,lucie.leroy@mail.com,8916619215,France,2026-09-22,Doctorat,Anglais (B2),"Solide expérience en ingénierie, avec un niveau Débutant. Compétences Intermédiaire dans les domaines de services de représentation et services de représentation, ainsi qu'une bonne maîtrise de affaires réglementaires.","4 ans d'expérience chez Petit PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur réglementaire. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-09-15,2024-07-18
7,Leroy,Marie,marie.leroy@mail.com,5102307397,Belgique,2026-04-02,Doctorat,"Néerlandais (B2), Allemand (B1), Français (C1)","Solide expérience en ingénierie, avec un niveau Débutant. Compétences Débutant dans les domaines de ingénierie et affaires réglementaires, ainsi qu'une bonne maîtrise de affaires réglementaires.","4 ans d'expérience chez Dupont PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur réglementaire. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-06-28,2024-01-17
8,Robert,Julie,julie.robert@mail.com,5019756661,Luxembourg,2026-10-19,Doctorat,Français (C1),Spécialiste en systèmes de qualité avec des compétences Débutant et une bonne maîtrise des audits. Expérience Débutant en domaines cliniques et post-marché et Avancé en services de représentation.,"Auditeur principal pendant 8 ans chez Moreau PharmaCorp, où il a dirigé des projets liés à qualité, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-05-01,2024-04-25
9,Moreau,Sophie,sophie.moreau@mail.com,3493809879,Suisse,2026-01-08,Licence,"Français (C1), Anglais (B2)","Niveau Intermédiaire en audits, avec une bonne expertise en domaines cliniques et post-marché et compétences Avancé en services de représentation. Connaissances avancées en services de représentation.","9 ans d'expérience chez Moreau PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur réglementaire. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-04-28,2024-02-28
10,Robert,Pierre,pierre.robert@mail.com,5725767084,Luxembourg,2024-01-19,Licence,Allemand (B1),"Solide expérience en services de représentation, avec un niveau Avancé. Compétences Débutant dans les domaines de domaines cliniques et post-marché et systèmes de qualité, ainsi qu'une bonne maîtrise de audits.","9 ans chez Leroy PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur pharmaceutique, supervisant des équipes et coordonnant des initiatives internationales.",2024-05-14,2024-02-28
11,Bernard,Sophie,sophie.bernard@mail.com,3840927587,Luxembourg,2024-05-25,Master,"Anglais (B2), Espagnol (A2)",Spécialiste en affaires réglementaires avec des compétences Intermédiaire et une bonne maîtrise des audits. Expérience Débutant en affaires réglementaires et Débutant en audits.,"8 ans chez Richard PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur réglementaire, supervisant des équipes et coordonnant des initiatives internationales.",2024-06-19,2024-09-19
12,Dupont,Julie,julie.dupont@mail.com,7952861133,Luxembourg,2025-11-01,Master,"Espagnol (A2), Anglais (B2)","Niveau Débutant en affaires réglementaires, avec une bonne expertise en affaires réglementaires et compétences Débutant en ingénierie. Connaissances avancées en affaires réglementaires.","7 ans d'expérience chez Leroy PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur pharmaceutique. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-03-21,2024-05-09
13,Simon,Pierre,pierre.simon@mail.com,9139486075,France,2024-07-01,Licence,Espagnol (A2),Spécialiste en systèmes de qualité avec des compétences Avancé et une bonne maîtrise des audits. Expérience Intermédiaire en systèmes de qualité et Avancé en affaires réglementaires.,"10 ans chez Richard PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur pharmaceutique, supervisant des équipes et coordonnant des initiatives internationales.",2024-02-03,2024-01-03
14,Bernard,Lucie,lucie.bernard@mail.com,5992511270,Belgique,2025-03-27,Doctorat,Anglais (B2),"Niveau Avancé en systèmes de qualité, avec une bonne expertise en ingénierie et compétences Débutant en domaines cliniques et post-marché. Connaissances avancées en systèmes de qualité.","4 ans chez Martin PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur qualité, supervisant des équipes et coordonnant des initiatives internationales.",2024-10-25,2024-05-16
