ID_Candidat,Nom,Prénom,Email,Téléphone,Pays,Prochaine_Disponibilité,Niveau_Education,Langues,Competencies,Experience,Date_Added,Last_Updated
1,Martin,Pierre,pierre.martin@mail.com,7273513349,Belgium,2025-07-11,Bachelor,"Spanish (A2), Dutch (B2), English (B2)",Expertise in audits with a Intermediate level. Advanced experience in engineering and Beginner skills in engineering. Good command of quality systems with a Advanced level.,Experience of 8 years as a lead auditor at Moreau PharmaCorp. Conducted numerous audits in the pharmaceutical sector and collaborated with international partners.,2024-01-12,2024-05-03
2,Leroy,Jacques,jacques.leroy@mail.com,1151665728,Belgium,2026-06-17,Master,"German (B1), French (C1)",Expertise in audits with a Intermediate level. Advanced experience in audits and Intermediate skills in clinical and post-market. Good command of audits with a Beginner level.,"10 years of experience at Simon PharmaCorp as a lead auditor, specializing in the quality sector. Responsible for audit and compliance projects in an international setting.",2024-02-24,2024-02-11
3,Moreau,Sophie,sophie.moreau@mail.com,6035530611,Switzerland,2024-06-24,Bachelor,"Spanish (A2), German (B1)",Specialist in representative services with Intermediate skills and strong expertise in audits. Intermediate experience in engineering and Beginner in representative services.,Experience of 9 years as a lead auditor at Leroy PharmaCorp. Conducted numerous audits in the regulatory sector and collaborated with international partners.,2024-05-03,2024-02-12
4,Petit,Jean,jean.petit@mail.com,4746843090,Luxembourg,2024-08-02,Bachelor,"German (B1), English (B2), Spanish (A2)",Specialist in representative services with Advanced skills and strong expertise in audits. Advanced experience in audits and Advanced in representative services.,"8 years at Bernard PharmaCorp as a lead auditor. Led multiple projects in the quality sector, overseeing teams and coordinating international initiatives.",2024-03-10,2024-06-25
5,Durand,Paul,paul.durand@mail.com,1332809424,Switzerland,2024-03-23,PhD,English (B2),Specialist in quality systems with Intermediate skills and strong expertise in audits. Beginner experience in representative services and Beginner in clinical and post-market.,Experience of 10 years as a lead auditor at Dupont PharmaCorp. Conducted numerous audits in the pharmaceutical sector and collaborated with international partners.,2024-06-11,2024-10-23
6,Leroy,Lucie,lucie.leroy@mail.com,6325506153,Belgium,2025-12-06,PhD,"Spanish (A2), German (B1), French (C1)",Specialist in representative services with Intermediate skills and strong expertise in audits. Beginner experience in regulatory affairs and Advanced in clinical and post-market.,"6 years of experience at Leroy PharmaCorp as a lead auditor, specializing in the regulatory sector. Responsible for audit and compliance projects in an international setting.",2024-04-09,2024-02-11
7,Bernard,Lucie,lucie.bernard@mail.com,8735394866,Switzerland,2025-12-26,Bachelor,Spanish (A2),Specialist in audits with Beginner skills and strong expertise in audits. Intermediate experience in audits and Intermediate in audits.,"7 years of experience at Durand PharmaCorp as a lead auditor, specializing in the regulatory sector. Responsible for audit and compliance projects in an international setting.",2024-02-28,2024-03-01
8,Richard,Julie,julie.richard@mail.com,1942154508,France,2025-05-17,PhD,"French (C1), Dutch (B2)","Advanced level in clinical and post-market, with solid expertise in audits and Intermediate skills in regulatory affairs. Advanced knowledge in regulatory affairs.","Lead auditor for 10 years at Martin PharmaCorp, managing projects related to regulatory, with responsibilities in team supervision and regulatory compliance.",2024-01-25,2024-06-10
9,Dupont,Pierre,pierre.dupont@mail.com,3775229732,Canada,2024-12-03,PhD,"Spanish (A2), English (B2)","Solid experience in audits, with a Intermediate level. Beginner skills in the fields of clinical and post-market and quality systems, and a good command of regulatory affairs.",Experience of 9 years as a lead auditor at Durand PharmaCorp. Conducted numerous audits in the regulatory sector and collaborated with international partners.,2024-01-08,2024-04-27
10,Robert,Jacques,jacques.robert@mail.com,9026902870,Switzerland,2025-11-22,PhD,"Spanish (A2), German (B1)",Specialist in quality systems with Beginner skills and strong expertise in audits. Intermediate experience in quality systems and Beginner in regulatory affairs.,"5 years of experience at Moreau PharmaCorp as a lead auditor, specializing in the pharmaceutical sector. Responsible for audit and compliance projects in an international setting.",2024-04-07,2024-08-26
11,Bernard,Sophie,sophie.bernard@mail.com,6705942333,France,2025-08-21,Master,"Spanish (A2), German (B1), Dutch (B2)","Solid experience in quality systems, with a Advanced level. Advanced skills in the fields of engineering and audits, and a good command of engineering.","3 years of experience at Petit PharmaCorp as a lead auditor, specializing in the regulatory sector. Responsible for audit and compliance projects in an international setting.",2024-07-11,2024-04-20
12,Bernard,Sophie,sophie.bernard@mail.com,6619934764,Switzerland,2024-07-11,PhD,"Spanish (A2), French (C1), German (B1)",Expertise in quality systems with a Advanced level. Advanced experience in regulatory affairs and Advanced skills in regulatory affairs. Good command of audits with a Beginner level.,"3 years at Martin PharmaCorp as a lead auditor. Led multiple projects in the quality sector, overseeing teams and coordinating international initiatives.",2024-03-07,2024-03-15
13,Martin,Jacques,jacques.martin@mail.com,6225926332,France,2025-08-05,Bachelor,"Dutch (B2), French (C1)","Beginner level in representative services, with solid expertise in engineering and Advanced skills in quality systems. Advanced knowledge in regulatory affairs.","4 years of experience at Petit PharmaCorp as a lead auditor, specializing in the regulatory sector. Responsible for audit and compliance projects in an international setting.",2024-01-16,2024-03-13
14,Martin,Louise,louise.martin@mail.com,7343985662,France,2025-02-06,Master,"Spanish (A2), Dutch (B2)",Expertise in representative services with a Advanced level. Advanced experience in audits and Intermediate skills in audits. Good command of audits with a Advanced level.,"3 years at Richard PharmaCorp as a lead auditor. Led multiple projects in the regulatory sector, overseeing teams and coordinating international initiatives.",2024-03-04,2024-01-01
15,Dupont,Louise,louise.dupont@mail.com,3261446138,Belgium,2026-10-10,Bachelor,"French (C1), German (B1)",Specialist in clinical and post-market with Intermediate skills and strong expertise in audits. Beginner experience in engineering and Intermediate in representative services.,"3 years at Dupont PharmaCorp as a lead auditor. Led multiple projects in the pharmaceutical sector, overseeing teams and coordinating international initiatives.",2024-08-06,2024-05-26
16,Martin,Pierre,pierre.martin@mail.com,9548391537,Belgium,2024-06-12,Bachelor,"French (C1), English (B2)",Specialist in quality systems with Advanced skills and strong expertise in audits. Advanced experience in clinical and post-market and Intermediate in representative services.,Experience of 6 years as a lead auditor at Durand PharmaCorp. Conducted numerous audits in the pharmaceutical sector and collaborated with international partners.,2024-09-07,2024-07-02
17,Richard,Jacques,jacques.richard@mail.com,7004532545,Switzerland,2025-06-19,PhD,"Spanish (A2), Dutch (B2)",Expertise in regulatory affairs with a Intermediate level. Advanced experience in quality systems and Advanced skills in regulatory affairs. Good command of quality systems with a Advanced level.,"Lead auditor for 7 years at Bernard PharmaCorp, managing projects related to regulatory, with responsibilities in team supervision and regulatory compliance.",2024-02-08,2024-10-02
18,Richard,Marie,marie.richard@mail.com,1653770253,Luxembourg,2024-12-21,Master,"French (C1), Dutch (B2)",Specialist in regulatory affairs with Intermediate skills and strong expertise in audits. Advanced experience in regulatory affairs and Advanced in regulatory affairs.,"4 years of experience at Martin PharmaCorp as a lead auditor, specializing in the regulatory sector. Responsible for audit and compliance projects in an international setting.",2024-05-05,2024-07-14
19,Dupont,Paul,paul.dupont@mail.com,1255968178,Luxembourg,2025-01-15,Master,French (C1),Specialist in regulatory affairs with Intermediate skills and strong expertise in audits. Intermediate experience in regulatory affairs and Advanced in regulatory affairs.,"10 years of experience at Robert PharmaCorp as a lead auditor, specializing in the pharmaceutical sector. Responsible for audit and compliance projects in an international setting.",2024-09-01,2024-03-14
20,Martin,Sophie,sophie.martin@mail.com,1083776531,Switzerland,2026-11-13,PhD,"Spanish (A2), German (B1)",Expertise in representative services with a Intermediate level. Beginner experience in regulatory affairs and Advanced skills in clinical and post-market. Good command of quality systems with a Beginner level.,Experience of 7 years as a lead auditor at Leroy PharmaCorp. Conducted numerous audits in the pharmaceutical sector and collaborated with international partners.,2024-01-24,2024-02-26
21,Durand,Pierre,pierre.durand@mail.com,2932027209,Belgium,2024-06-06,Master,"Spanish (A2), English (B2), German (B1)",Specialist in representative services with Intermediate skills and strong expertise in audits. Beginner experience in representative services and Beginner in clinical and post-market.,"4 years at Dupont PharmaCorp as a lead auditor. Led multiple projects in the quality sector, overseeing teams and coordinating international initiatives.",2024-06-24,2024-10-21
22,Martin,Lucie,lucie.martin@mail.com,1131725904,Belgium,2025-03-16,Master,"Dutch (B2), German (B1), English (B2)",Specialist in quality systems with Beginner skills and strong expertise in audits. Intermediate experience in representative services and Intermediate in engineering.,"4 years of experience at Moreau PharmaCorp as a lead auditor, specializing in the quality sector. Responsible for audit and compliance projects in an international setting.",2024-07-05,2024-10-21
23,Bernard,Julie,julie.bernard@mail.com,6675983819,Belgium,2026-05-23,Bachelor,"German (B1), Spanish (A2)","Advanced level in representative services, with solid expertise in audits and Beginner skills in audits. Advanced knowledge in quality systems.","10 years of experience at Moreau PharmaCorp as a lead auditor, specializing in the pharmaceutical sector. Responsible for audit and compliance projects in an international setting.",2024-09-03,2024-02-09
24,Leroy,Marc,marc.leroy@mail.com,8114473696,Switzerland,2025-05-28,Master,"English (B2), German (B1)",Expertise in representative services with a Intermediate level. Advanced experience in audits and Intermediate skills in representative services. Good command of engineering with a Beginner level.,"10 years at Martin PharmaCorp as a lead auditor. Led multiple projects in the regulatory sector, overseeing teams and coordinating international initiatives.",2024-02-10,2024-06-16
25,Moreau,Julie,julie.moreau@mail.com,9492481242,Switzerland,2026-05-11,PhD,English (B2),Specialist in audits with Advanced skills and strong expertise in audits. Advanced experience in regulatory affairs and Advanced in regulatory affairs.,Experience of 7 years as a lead auditor at Durand PharmaCorp. Conducted numerous audits in the pharmaceutical sector and collaborated with international partners.,2024-01-11,2024-03-03
26,Robert,Julie,julie.robert@mail.com,9206978820,Switzerland,2024-12-02,PhD,"Spanish (A2), French (C1), German (B1)","Beginner level in audits, with solid expertise in regulatory affairs and Beginner skills in clinical and post-market. Advanced knowledge in clinical and post-market.",Experience of 5 years as a lead auditor at Leroy PharmaCorp. Conducted numerous audits in the quality sector and collaborated with international partners.,2024-04-12,2024-03-16
